Time,,ID,RX/TX,Length,
0.02484,1,655,Rx d,8,0180297FFF7FFF
0.024979,1,656,Rx d,8,7FFF00FFFF00
0.0251,1,502,Rx d,8,000008E08E
0.025222,1,657,Rx d,8,FFEF7FFFFFFF00
0.02536,1,658,Rx d,8,00A0193F000
0.025498,1,659,Rx d,8,FFFFFFFF0000
0.025633,1,630,Rx d,8,01FFFF0A9F00
0.025768,1,631,Rx d,8,00010100010
0.025908,1,632,Rx d,8,7FFF7FFF0110
0.026042,1,633,Rx d,8,104F010000
0.026161,1,503,Rx d,8,03E3E00121112
0.026287,1,634,Rx d,8,07FFFFFFF000
0.026421,1,635,Rx d,8,7FFFFFFF1100
0.026522,1,470,Rx d,6,01205B3CF
0.026646,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.02691,1,471,Rx d,6,01FFFC00
0.027051,1,504,Rx d,8,11000001
0.028038,1,505,Rx d,8,03B3B3C3C3B3B3A
0.028162,1,7F5,Rx d,8,0FF00000FF
0.028413,1,470,Rx d,6,00A04B3E0
0.030375,1,470,Rx d,6,FFFC04B3E0
0.031524,1,E9,Rx d,8,363644100021
0.031881,1,460,Rx d,8,000001700
0.032003,1,460,Rx d,8,154C7DC7F780
0.032145,1,460,Rx d,8,29068601800
0.03242,1,470,Rx d,6,0190433CF
0.033055,1,500,Rx d,8,100000000
0.033944,1,640,Rx d,8,003D70F5057
0.034069,1,501,Rx d,8,10000000
0.034191,1,641,Rx d,8,01205900046
0.034324,1,642,Rx d,8,0007DFF6AF060
0.034425,1,470,Rx d,6,01203C3D7
0.034549,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.034684,1,652,Rx d,8,00F060FF000
0.034837,1,655,Rx d,8,0180297FFF7FFF
0.034943,1,471,Rx d,6,000000
0.035067,1,502,Rx d,8,1008E0600
0.035189,1,656,Rx d,8,7FFF00FFFF00
0.035325,1,657,Rx d,8,FFEB7FFFFFFF00
0.035463,1,658,Rx d,8,00A093E000
0.0356,1,659,Rx d,8,FFFFFFFF0000
0.035734,1,630,Rx d,8,01FFFF0A9C00
0.035872,1,631,Rx d,8,00010100010
0.036012,1,632,Rx d,8,7FFF7FFF0110
0.036132,1,503,Rx d,8,13E3D403E43D
0.036253,1,633,Rx d,8,104F010000
0.036393,1,634,Rx d,8,07FFFFFFF000
0.036495,1,470,Rx d,6,01902C3BF
0.036617,1,635,Rx d,8,7FFFFFFF1100
0.036754,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.036892,1,644,Rx d,8,0000010016
0.03703,1,645,Rx d,8,00000007F
0.037154,1,504,Rx d,8,410010110
0.03728,1,646,Rx d,8,007FFF7FFF00
0.037419,1,647,Rx d,8,007FFF7FFF00
0.037557,1,648,Rx d,8,00000000
0.037694,1,670,Rx d,8,1000000A00
0.037831,1,671,Rx d,8,F060FB500100
0.037948,1,2A,Rx d,8,01747906D0D98
0.038062,1,505,Rx d,8,13B3B3B3B3B3B3B
0.038187,1,672,Rx d,8,00000000
0.038325,1,118,Rx d,8,09018181900
0.038464,1,119,Rx d,8,007FFF1096
0.038567,1,470,Rx d,6,01903C3D7
0.038644,1,11A,Rx d,3,000
0.03878,1,29,Rx d,8,00000000
0.040361,1,470,Rx d,6,0204B3D7
0.04235,1,470,Rx d,6,0120433E8
0.042738,1,471,Rx d,6,010000
0.043912,1,640,Rx d,8,003D70F5057
0.044048,1,641,Rx d,8,01205900046
0.044174,1,501,Rx d,8,20000000
0.044294,1,642,Rx d,8,0007DFF6AF060
0.04441,1,470,Rx d,6,0190343F0
0.044534,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.04467,1,652,Rx d,8,00F060FF000
0.044834,1,655,Rx d,8,0180297FFF7FFF
