Starting CAN Translator
dict {}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126406.5960243}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126406.8131769}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126410.0140357, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126410.2133062, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126410.4235246, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126412.3986115, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126412.6208441, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126413.114289, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126413.2180023, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126413.3057764, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126413.9144535, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126414.0067985, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126414.108795, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126414.2068763, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126414.8119266, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126415.0154233, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126415.2158964, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126415.4130847, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126415.7098217, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23651, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126415.8076556, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126416.506876, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126416.9988477, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126417.4030046, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126417.7173293, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126417.8096228, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126417.8958418, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126418.4000115, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23602, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126418.5032036, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23602, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126418.9037354, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23602, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126419.004864, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23603, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126419.103196, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126419.2006757, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126421.8158019, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126421.9143186, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.013194, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.1127405, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.213982, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.3168447, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.4156291, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.5141604, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23601, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.815617, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126422.916495, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126423.51435, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23606, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126423.7119994, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23606, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126424.1145234, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23651, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126424.21483, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23651, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126424.515519, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23651, 'c4': 12408}

